timestamp,src_mac,dst_mac,in_port,out_port,packet_count,byte_count
1784202776.537206,1e:de:87:fc:f1:c1,be:6f:ba:73:55:a0,2,1,1,42
1784202776.5685105,be:6f:ba:73:55:a0,1e:de:87:fc:f1:c1,1,2,1,42
1784202776.5713325,1e:de:87:fc:f1:c1,be:6f:ba:73:55:a0,2,1,2,84
1784202777.68386,be:6f:ba:73:55:a0,1e:de:87:fc:f1:c1,1,2,2,96
1784202777.6846812,1e:de:87:fc:f1:c1,be:6f:ba:73:55:a0,2,1,3,138
1784202779.1015778,be:6f:ba:73:55:a0,1e:de:87:fc:f1:c1,1,2,3,150
1784202779.1034887,1e:de:87:fc:f1:c1,be:6f:ba:73:55:a0,2,1,4,192
1784202781.032236,be:6f:ba:73:55:a0,1e:de:87:fc:f1:c1,1,2,4,204
1784202781.0335817,1e:de:87:fc:f1:c1,be:6f:ba:73:55:a0,2,1,5,246
1784202781.647383,1e:de:87:fc:f1:c1,be:6f:ba:73:55:a0,2,1,6,288
1784202781.6485908,be:6f:ba:73:55:a0,1e:de:87:fc:f1:c1,1,2,5,246
1784202794.9350557,be:6f:ba:73:55:a0,1e:de:87:fc:f1:c1,1,2,6,300
1784202794.9368806,1e:de:87:fc:f1:c1,be:6f:ba:73:55:a0,2,1,7,342
1784202802.6678264,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,1,42
1784202802.6892066,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,1,54
1784202802.6902587,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,2,96
1784202802.742855,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,2,108
1784202802.7448652,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,3,150
1784202802.7984524,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,3,162
1784202802.7995887,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,4,204
1784202802.833332,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,4,216
1784202802.8345149,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,5,258
1784202802.8822706,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,5,270
1784202802.883929,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,6,312
1784202802.9259758,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,6,324
1784202802.927301,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,7,366
1784202802.982239,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,7,378
1784202802.9835658,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,8,420
1784202803.0348163,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,8,432
