timestamp,src_mac,dst_mac,in_port,out_port,packet_count,byte_count
1783613153.1085992,66:95:94:82:d4:92,f6:81:90:d9:84:19,2,1,1,42
1783613153.1099563,f6:81:90:d9:84:19,66:95:94:82:d4:92,1,2,1,98
1783613153.110913,66:95:94:82:d4:92,f6:81:90:d9:84:19,2,1,2,140
1783613153.114208,fe:0f:5f:c3:42:7f,f6:81:90:d9:84:19,3,1,1,42
1783613153.1149473,f6:81:90:d9:84:19,fe:0f:5f:c3:42:7f,1,3,1,98
1783613153.115746,fe:0f:5f:c3:42:7f,f6:81:90:d9:84:19,3,1,2,140
1783613153.1180165,66:95:94:82:d4:92,f6:81:90:d9:84:19,2,1,3,238
1783613153.118676,f6:81:90:d9:84:19,66:95:94:82:d4:92,1,2,2,196
1783613153.1218426,fe:0f:5f:c3:42:7f,66:95:94:82:d4:92,3,2,1,42
1783613153.1231778,66:95:94:82:d4:92,fe:0f:5f:c3:42:7f,2,3,1,98
1783613153.1242602,fe:0f:5f:c3:42:7f,66:95:94:82:d4:92,3,2,2,140
1783613153.1267276,fe:0f:5f:c3:42:7f,f6:81:90:d9:84:19,3,1,3,238
1783613153.12747,f6:81:90:d9:84:19,fe:0f:5f:c3:42:7f,1,3,2,196
1783613153.1296515,fe:0f:5f:c3:42:7f,66:95:94:82:d4:92,3,2,3,238
1783613153.1302872,66:95:94:82:d4:92,fe:0f:5f:c3:42:7f,2,3,2,196
1783613158.3186326,fe:0f:5f:c3:42:7f,66:95:94:82:d4:92,3,2,4,280
1783613158.3195114,fe:0f:5f:c3:42:7f,f6:81:90:d9:84:19,3,1,4,280
1783613158.3197887,66:95:94:82:d4:92,f6:81:90:d9:84:19,2,1,4,280
1783613158.3207712,66:95:94:82:d4:92,fe:0f:5f:c3:42:7f,2,3,3,238
1783613158.3210192,f6:81:90:d9:84:19,fe:0f:5f:c3:42:7f,1,3,3,238
1783613158.3212252,f6:81:90:d9:84:19,66:95:94:82:d4:92,1,2,3,238
1783797413.7104874,b6:1e:ee:35:37:81,62:83:1c:9b:d7:5f,2,1,1,42
1783797413.7321253,62:83:1c:9b:d7:5f,b6:1e:ee:35:37:81,1,2,1,54
1783797413.7343073,b6:1e:ee:35:37:81,62:83:1c:9b:d7:5f,2,1,2,96
1783797415.3261886,62:83:1c:9b:d7:5f,b6:1e:ee:35:37:81,1,2,2,108
1783797415.3322628,b6:1e:ee:35:37:81,62:83:1c:9b:d7:5f,2,1,3,150
1783797421.7106378,62:83:1c:9b:d7:5f,b6:1e:ee:35:37:81,1,2,3,162
1783797421.7133615,b6:1e:ee:35:37:81,62:83:1c:9b:d7:5f,2,1,4,204
1783797421.9221187,b6:1e:ee:35:37:81,62:83:1c:9b:d7:5f,2,1,5,246
1783797421.9245317,62:83:1c:9b:d7:5f,b6:1e:ee:35:37:81,1,2,4,204
1783797425.447273,62:83:1c:9b:d7:5f,b6:1e:ee:35:37:81,1,2,5,246
1783797425.4496393,b6:1e:ee:35:37:81,62:83:1c:9b:d7:5f,2,1,6,288
1783797653.7515786,b6:0f:ae:f2:ea:20,56:04:ed:08:a5:5a,2,1,1,42
1783797653.7773216,56:04:ed:08:a5:5a,b6:0f:ae:f2:ea:20,1,2,1,42
1783797653.7804012,b6:0f:ae:f2:ea:20,56:04:ed:08:a5:5a,2,1,2,84
1783797657.3091578,56:04:ed:08:a5:5a,b6:0f:ae:f2:ea:20,1,2,2,96
1783797657.311849,b6:0f:ae:f2:ea:20,56:04:ed:08:a5:5a,2,1,3,138
1783797658.7896466,56:04:ed:08:a5:5a,b6:0f:ae:f2:ea:20,1,2,3,150
1783797658.7922196,b6:0f:ae:f2:ea:20,56:04:ed:08:a5:5a,2,1,4,192
1783797658.8318956,b6:0f:ae:f2:ea:20,56:04:ed:08:a5:5a,2,1,5,234
1783797658.8349767,56:04:ed:08:a5:5a,b6:0f:ae:f2:ea:20,1,2,4,192
1783797669.102793,56:04:ed:08:a5:5a,b6:0f:ae:f2:ea:20,1,2,5,246
1783797669.1058426,b6:0f:ae:f2:ea:20,56:04:ed:08:a5:5a,2,1,6,288
1783797671.9420593,56:04:ed:08:a5:5a,b6:0f:ae:f2:ea:20,1,2,6,300
1783797671.9442284,b6:0f:ae:f2:ea:20,56:04:ed:08:a5:5a,2,1,7,342
1783797689.5547469,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,1,42
1783797689.586015,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,1,54
1783797689.5896873,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,2,96
1783797689.6336849,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,2,108
1783797689.6366632,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,3,150
1783797689.682176,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,3,162
1783797689.6847842,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,4,204
1783797689.7469752,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,4,216
1783797689.7493453,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,5,258
1783797689.829785,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,5,270
1783797689.8316832,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,6,312
1783797689.9060097,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,6,324
1783797689.9076931,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,7,366
1783797689.953737,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,7,378
1783797689.9560583,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,8,420
1783797690.009395,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,8,432
1783797690.0115707,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,9,474
1783797690.0743816,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,9,486
1783797690.077004,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,10,528
1783797690.117918,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,10,540
1783797690.1206641,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,11,582
1783797690.1702743,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,11,594
1783797690.1728952,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,12,636
1783797690.2182283,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,12,648
1783797690.2203193,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,13,690
1783797690.2870474,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,13,702
1783797690.2898922,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,14,744
1783797690.339739,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,14,756
1783797690.342602,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,15,798
1783797690.390239,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,15,810
1783797690.3923194,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,16,852
1783797690.455154,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,16,864
1783797690.456905,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,17,906
1783797690.5018067,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,17,918
1783797690.504043,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,18,960
1783797690.5628889,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,18,972
1783797690.565142,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,19,1014
1783797690.6312895,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,19,1026
1783797690.6350656,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,20,1068
1783797690.6938477,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,20,1080
1783797690.696565,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,21,1122
1783797690.762923,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,21,1134
1783797690.7654676,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,22,1176
1783797690.8096294,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,22,1188
1783797690.8116229,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,23,1230
1783797690.861909,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,23,1242
1783797690.864421,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,24,1284
1783797690.910271,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,24,1296
1783797690.9124248,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,25,1338
1783797690.9576893,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,25,1350
1783797690.9601145,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,26,1392
1783797691.0340734,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,26,1404
1783797691.0365055,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,27,1446
1783797691.114912,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,27,1458
1783797691.1170878,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,28,1500
1783797691.175482,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,28,1512
1783797691.177846,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,29,1554
1783797691.2220733,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,29,1566
1783797691.224351,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,30,1608
1783797691.2776108,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,30,1620
1783797691.2798731,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,31,1662
1783797691.3213804,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,31,1674
1783797691.3231084,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,32,1716
1783797691.3859513,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,32,1728
1783797691.3881292,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,33,1770
1783797691.44551,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,33,1782
1783797691.4473999,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,34,1824
1783797691.4980457,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,34,1836
1783797691.5006707,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,35,1878
1783797691.5418887,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,35,1890
